netcard_mini	netcard_mini_value	netcard	netcard_value	tate_pairing_mini	tate_pairing_mini_value	tate_pairing	tate_pairing_value	jpeg_mini	jpeg_mini_value	jpeg	jpeg_value	ariane_mini	ariane_mini_value	ariane	ariane_value	nova_mini	nova_mini_value	nova	nova_value
M3P100_M5P100_M3C100_M5C100	36.93	M3P100_M5P100_M3C100_M5C100	375.12	M3P100_M5P75_M3C100_M5C150	30.73	M3P100_M5P75_M3C100_M5C150	295.91	M3P85_M5P75_M3C100_M5C100	8.17	M3P85_M5P75_M3C100_M5C100	84.28	M3P100_M5P100_M3C100_M5C150	32.54	M3P100_M5P100_M3C100_M5C150	340.28	M3P130_M5P100_M3C100_M5C100	6.85	M3P100_M5P75_M3C100_M5C150	66.2
M3P100_M5P75_M3C100_M5C100	36.96	M3P100_M5P75_M3C100_M5C100	390.89	M3P100_M5P125_M3C100_M5C100	30.74	M3P100_M5P125_M3C100_M5C100	294.27	M3P100_M5P75_M3C100_M5C100	8.17	M3P100_M5P75_M3C100_M5C100	84.73	M3P85_M5P75_M3C100_M5C150	32.54	M3P85_M5P75_M3C100_M5C150	340.21	M3P100_M5P125_M3C100_M5C150	6.86	M3P100_M5P100_M3C100_M5C50	65.35
M3P130_M5P100_M3C100_M5C150	36.97	M3P130_M5P100_M3C100_M5C150	378.26	M3P130_M5P100_M3C100_M5C150	30.74	M3P130_M5P100_M3C100_M5C150	295.39	M3P130_M5P125_M3C100_M5C150	8.18	M3P130_M5P125_M3C100_M5C150	86.65	M3P85_M5P75_M3C100_M5C100	32.54	M3P85_M5P75_M3C100_M5C100	340.01	M3P100_M5P75_M3C100_M5C50	6.87	M3P85_M5P125_M3C100_M5C100	65.77
M3P85_M5P100_M3C100_M5C150	36.99	M3P85_M5P100_M3C100_M5C150	380.1	M3P85_M5P100_M3C100_M5C100	30.74	M3P85_M5P100_M3C100_M5C100	294.04	M3P130_M5P125_M3C100_M5C50	8.2	M3P130_M5P125_M3C100_M5C50	85.92	M3P100_M5P125_M3C100_M5C100	32.54	M3P100_M5P125_M3C100_M5C100	339.89	M3P100_M5P100_M3C150_M5C150	6.87	M3P85_M5P75_M3C100_M5C150	66.92
M3P100_M5P75_M3C100_M5C150	36.99	M3P100_M5P75_M3C100_M5C150	389.32	M3P100_M5P125_M3C100_M5C50	30.74	M3P100_M5P125_M3C100_M5C50	291.42	M3P85_M5P75_M3C100_M5C50	8.2	M3P85_M5P75_M3C100_M5C50	82.98	M3P130_M5P100_M3C100_M5C150	32.54	M3P130_M5P100_M3C100_M5C150	340.01	M3P85_M5P75_M3C100_M5C150	6.87	M3P100_M5P100_M3C100_M5C100	65.92
M3P85_M5P100_M3C100_M5C100	36.99	M3P85_M5P100_M3C100_M5C100	376.42	M3P100_M5P75_M3C100_M5C50	30.78	M3P100_M5P75_M3C100_M5C50	291.05	M3P100_M5P125_M3C100_M5C50	8.2	M3P100_M5P125_M3C100_M5C50	85.59	M3P100_M5P75_M3C100_M5C50	32.54	M3P100_M5P75_M3C100_M5C50	339.71	M3P130_M5P75_M3C100_M5C150	6.87	M3P85_M5P100_M3C100_M5C100	65.95
M3P100_M5P125_M3C100_M5C150	37.0	M3P100_M5P125_M3C100_M5C150	376.82	M3P85_M5P125_M3C100_M5C100	30.81	M3P85_M5P125_M3C100_M5C100	293.21	M3P130_M5P75_M3C100_M5C150	8.21	M3P130_M5P75_M3C100_M5C150	85.45	M3P130_M5P75_M3C150_M5C150	32.54	M3P130_M5P75_M3C150_M5C150	341.27	M3P85_M5P100_M3C100_M5C100	6.87	M3P130_M5P125_M3C100_M5C150	66.23
M3P85_M5P75_M3C100_M5C50	37.02	M3P85_M5P75_M3C100_M5C50	386.63	M3P85_M5P75_M3C100_M5C150	30.83	M3P85_M5P75_M3C100_M5C150	296.18	M3P85_M5P125_M3C100_M5C100	8.21	M3P85_M5P125_M3C100_M5C100	84.48	M3P100_M5P75_M3C100_M5C150	32.54	M3P100_M5P75_M3C100_M5C150	340.53	M3P130_M5P75_M3C100_M5C100	6.88	M3P130_M5P125_M3C150_M5C50	66.4
M3P85_M5P125_M3C100_M5C150	37.03	M3P85_M5P125_M3C100_M5C150	382.72	M3P85_M5P100_M3C100_M5C50	30.86	M3P85_M5P100_M3C100_M5C50	294.1	M3P100_M5P125_M3C100_M5C150	8.22	M3P100_M5P125_M3C100_M5C150	86.0	M3P85_M5P125_M3C100_M5C50	32.55	M3P85_M5P125_M3C100_M5C50	339.8	M3P100_M5P75_M3C150_M5C100	6.88	M3P130_M5P75_M3C100_M5C150	66.42
M3P85_M5P125_M3C100_M5C100	37.05	M3P85_M5P125_M3C100_M5C100	379.09	M3P85_M5P75_M3C100_M5C100	30.88	M3P85_M5P75_M3C100_M5C100	294.14	M3P85_M5P100_M3C100_M5C150	8.23	M3P85_M5P100_M3C100_M5C150	84.47	M3P130_M5P125_M3C150_M5C100	32.55	M3P130_M5P125_M3C150_M5C100	340.44	M3P130_M5P75_M3C150_M5C100	6.88	M3P130_M5P100_M3C150_M5C50	66.63
M3P85_M5P75_M3C100_M5C100	37.06	M3P85_M5P75_M3C100_M5C100	383.72	M3P130_M5P100_M3C100_M5C100	30.89	M3P130_M5P100_M3C100_M5C100	292.75	M3P100_M5P100_M3C150_M5C150	8.23	M3P100_M5P100_M3C150_M5C150	88.37	M3P130_M5P75_M3C150_M5C50	32.55	M3P130_M5P75_M3C150_M5C50	340.46	M3P100_M5P125_M3C150_M5C50	6.89	M3P130_M5P75_M3C150_M5C100	67.11
M3P100_M5P100_M3C100_M5C150	37.09	M3P100_M5P100_M3C100_M5C150	379.55	M3P130_M5P125_M3C100_M5C100	31.02	M3P130_M5P125_M3C100_M5C100	293.01	M3P130_M5P125_M3C150_M5C50	8.23	M3P130_M5P125_M3C150_M5C50	87.53	M3P100_M5P125_M3C150_M5C50	32.55	M3P100_M5P125_M3C150_M5C50	340.59	M3P130_M5P75_M3C150_M5C50	6.89	M3P85_M5P100_M3C100_M5C150	66.9
M3P85_M5P75_M3C100_M5C150	37.12	M3P85_M5P75_M3C100_M5C150	388.83	M3P100_M5P100_M3C100_M5C150	31.04	M3P100_M5P100_M3C100_M5C150	295.0	M3P100_M5P75_M3C100_M5C150	8.24	M3P100_M5P75_M3C100_M5C150	85.41	M3P130_M5P125_M3C150_M5C50	32.55	M3P130_M5P125_M3C150_M5C50	339.94	M3P100_M5P100_M3C100_M5C50	6.90	M3P100_M5P100_M3C150_M5C100	67.13
M3P130_M5P125_M3C150_M5C50	37.15	M3P130_M5P125_M3C150_M5C50	376.69	M3P130_M5P100_M3C150_M5C50	31.18	M3P130_M5P100_M3C150_M5C50	298.02	M3P100_M5P100_M3C100_M5C150	8.25	M3P100_M5P100_M3C100_M5C150	85.26	M3P100_M5P100_M3C150_M5C50	32.55	M3P100_M5P100_M3C150_M5C50	340.01	M3P130_M5P125_M3C100_M5C100	6.90	M3P130_M5P75_M3C150_M5C50	67.15
M3P130_M5P75_M3C150_M5C50	37.2	M3P130_M5P75_M3C150_M5C50	380.47	M3P100_M5P75_M3C150_M5C100	31.25	M3P100_M5P75_M3C150_M5C100	299.92	M3P85_M5P125_M3C100_M5C150	8.25	M3P85_M5P125_M3C100_M5C150	86.78	M3P85_M5P75_M3C100_M5C50	32.56	M3P85_M5P75_M3C100_M5C50	339.96	M3P100_M5P100_M3C100_M5C150	6.90	M3P130_M5P100_M3C150_M5C100	66.86
M3P130_M5P100_M3C150_M5C50	37.24	M3P130_M5P100_M3C150_M5C50	375.03	M3P85_M5P75_M3C150_M5C100	31.29	M3P85_M5P75_M3C150_M5C100	300.43	M3P130_M5P75_M3C150_M5C50	8.25	M3P130_M5P75_M3C150_M5C50	86.66	M3P100_M5P125_M3C150_M5C100	32.56	M3P100_M5P125_M3C150_M5C100	340.49	M3P100_M5P75_M3C150_M5C150	6.91	M3P130_M5P125_M3C100_M5C50	65.27
M3P100_M5P75_M3C150_M5C50	37.32	M3P100_M5P75_M3C150_M5C50	389.78	M3P130_M5P75_M3C150_M5C50	31.3	M3P130_M5P75_M3C150_M5C50	297.75	M3P85_M5P125_M3C150_M5C50	8.29	M3P85_M5P125_M3C150_M5C50	86.49	M3P85_M5P100_M3C100_M5C50	32.56	M3P85_M5P100_M3C100_M5C50	339.71	M3P85_M5P100_M3C150_M5C150	6.91	M3P85_M5P125_M3C150_M5C50	66.79
M3P130_M5P75_M3C150_M5C100	37.33	M3P130_M5P75_M3C150_M5C100	384.15	M3P100_M5P100_M3C150_M5C50	31.3	M3P100_M5P100_M3C150_M5C50	297.28	M3P130_M5P125_M3C150_M5C150	8.29	M3P130_M5P125_M3C150_M5C150	87.47	M3P130_M5P100_M3C100_M5C50	32.57	M3P130_M5P100_M3C100_M5C50	339.46	M3P85_M5P75_M3C150_M5C50	6.92	M3P85_M5P75_M3C150_M5C50	67.28
M3P130_M5P125_M3C150_M5C100	37.33	M3P130_M5P125_M3C150_M5C100	378.31	M3P85_M5P125_M3C150_M5C50	31.31	M3P85_M5P125_M3C150_M5C50	298.6	M3P130_M5P100_M3C150_M5C50	8.29	M3P130_M5P100_M3C150_M5C50	86.22	M3P100_M5P75_M3C150_M5C50	32.57	M3P100_M5P75_M3C150_M5C50	340.73	M3P85_M5P125_M3C100_M5C100	6.93	M3P130_M5P100_M3C100_M5C100	65.92
M3P130_M5P100_M3C150_M5C150	37.36	M3P130_M5P100_M3C150_M5C150	383.01	M3P100_M5P75_M3C150_M5C150	31.32	M3P100_M5P75_M3C150_M5C150	300.27	M3P100_M5P75_M3C150_M5C150	8.3	M3P100_M5P75_M3C150_M5C150	87.03	M3P130_M5P75_M3C150_M5C100	32.57	M3P130_M5P75_M3C150_M5C100	341.09	M3P130_M5P125_M3C150_M5C150	6.93	M3P100_M5P125_M3C100_M5C100	65.52
M3P100_M5P125_M3C150_M5C50	37.36	M3P100_M5P125_M3C150_M5C50	380.24	M3P130_M5P125_M3C150_M5C50	31.34	M3P130_M5P125_M3C150_M5C50	296.44	M3P100_M5P100_M3C150_M5C50	8.3	M3P100_M5P100_M3C150_M5C50	87.48	M3P130_M5P125_M3C150_M5C150	32.57	M3P130_M5P125_M3C150_M5C150	341.21	M3P100_M5P100_M3C150_M5C50	6.93	M3P130_M5P75_M3C150_M5C150	67.2
M3P130_M5P100_M3C150_M5C100	37.37	M3P130_M5P100_M3C150_M5C100	379.58	M3P85_M5P75_M3C150_M5C50	31.36	M3P85_M5P75_M3C150_M5C50	300.36	M3P100_M5P125_M3C150_M5C50	8.31	M3P100_M5P125_M3C150_M5C50	85.94	M3P85_M5P75_M3C150_M5C50	32.57	M3P85_M5P75_M3C150_M5C50	340.87	M3P100_M5P125_M3C150_M5C150	6.93	M3P100_M5P75_M3C150_M5C50	66.54
M3P100_M5P100_M3C150_M5C50	37.42	M3P100_M5P100_M3C150_M5C50	378.56	M3P130_M5P100_M3C150_M5C150	31.38	M3P130_M5P100_M3C150_M5C150	300.36	M3P85_M5P100_M3C150_M5C50	8.31	M3P85_M5P100_M3C150_M5C50	86.58	M3P100_M5P125_M3C100_M5C150	32.57	M3P100_M5P125_M3C100_M5C150	339.88	M3P85_M5P100_M3C150_M5C100	6.93	M3P100_M5P75_M3C150_M5C150	67.63
M3P130_M5P75_M3C150_M5C150	37.43	M3P130_M5P75_M3C150_M5C150	387.09	M3P130_M5P100_M3C150_M5C100	31.42	M3P130_M5P100_M3C150_M5C100	297.91	M3P100_M5P100_M3C150_M5C100	8.31	M3P100_M5P100_M3C150_M5C100	88.02	M3P100_M5P75_M3C150_M5C100	32.58	M3P100_M5P75_M3C150_M5C100	340.75	M3P100_M5P75_M3C150_M5C50	6.94	M3P100_M5P125_M3C150_M5C50	66.68
M3P100_M5P75_M3C150_M5C150	37.44	M3P100_M5P75_M3C150_M5C150	394.36	M3P130_M5P125_M3C150_M5C100	31.43	M3P130_M5P125_M3C150_M5C100	298.51	M3P130_M5P100_M3C150_M5C100	8.31	M3P130_M5P100_M3C150_M5C100	87.32	M3P85_M5P100_M3C100_M5C150	32.58	M3P85_M5P100_M3C100_M5C150	340.2	M3P130_M5P125_M3C100_M5C150	6.94	M3P100_M5P100_M3C150_M5C50	66.16
