Name,Type,Master,Height,Width
reconstruction/DF_top/FE_OFC32341_buf0_2_9,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32308_buf3_0_12,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32279_buf0_0_13,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32278_buf3_1_16,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32250_buf3_3_15,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32244_buf2_3_19,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32210_buf3_2_10,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32161_buf3_2_7,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32152_buf2_3_8,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32137_buf3_2_5,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32103_buf3_3_22,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32071_buf2_2_6,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32049_buf3_2_9,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC31980_buf3_3_23,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC31910_buf2_2_16,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC31683_DF_edge_counter_MW_2,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/DF_top/FE_OFC31647_DF_edge_counter_MR_2,inst,INVx1_ASAP7_75t_L,0.27,0.162
