Name,Type,Master,X,Y
FE_DBTC2167_FE_RN_13306_0,inst,INVxp67_ASAP7_75t_SL,42.552,108.486
FE_DBTC2166_FE_RN_13293_0,inst,INVxp33_ASAP7_75t_R,76.95,79.866
FE_DBTC2165_net_55466,inst,INVxp67_ASAP7_75t_SL,138.51,69.066
FE_DBTC2164_FE_RN_279,inst,INVx1_ASAP7_75t_SL,63.234,102.006
FE_DBTC2163_FE_RN_12791_0,inst,INVx2_ASAP7_75t_SL,39.582,55.026
FE_DBTC2162_net_62853,inst,INVx1_ASAP7_75t_SL,65.178,103.626
FE_DBTC2161_net_67118,inst,INVx1_ASAP7_75t_L,34.506,100.926
FE_DBTC2160_net_80474,inst,INVxp67_ASAP7_75t_SL,158.274,11.286
FE_DBTC2159_FE_RN_187,inst,INVx1_ASAP7_75t_SL,91.044,93.366
FE_DBTC2158_net_41726,inst,INVxp67_ASAP7_75t_SL,74.628,120.906
FE_DBTC2157_FE_RN_588_0,inst,INVxp67_ASAP7_75t_SL,68.256,98.766
FE_DBTC2156_FE_RN_12855_0,inst,INVxp67_ASAP7_75t_SL,68.58,80.946
FE_DBTC2155_net_63071,inst,INVxp33_ASAP7_75t_R,45.468,78.246
FE_DBTC2154_net_77133,inst,INVxp67_ASAP7_75t_SL,32.238,50.706
FE_DBTC2153_net_59741,inst,INVx1_ASAP7_75t_L,43.524,100.926
FE_DBTC2152_FE_OFN128574_net_48406,inst,INVxp67_ASAP7_75t_R,84.996,22.086
FE_DBTC2151_net_126515,inst,INVxp33_ASAP7_75t_R,84.132,94.446
FE_DBTC2150_FE_OCPN132612_net_42359,inst,INVx1_ASAP7_75t_L,75.924,123.606
FE_DBTC2149_FE_RN_2045_0,inst,INVxp67_ASAP7_75t_SL,46.656,7.506
FE_DBTC2148_net_73767,inst,INVxp67_ASAP7_75t_SL,58.266,82.566
FE_DBTC2147_net_67524,inst,INVx1_ASAP7_75t_SL,74.412,58.806
FE_DBTC2146_net_64692,inst,INVxp33_ASAP7_75t_R,50.976,73.926
FE_DBTC2145_net_54043,inst,INVx1_ASAP7_75t_SL,134.568,82.026
FE_DBTC2144_net_56250,inst,INVx4_ASAP7_75t_SL,75.6,73.926
FE_DBTC2143_FE_RN_12288_0,inst,INVxp67_ASAP7_75t_SL,30.402,103.626
FE_DBTC2142_net_63439,inst,INVxp33_ASAP7_75t_R,53.136,68.526
FE_DBTC2141_net_125761,inst,INVx2_ASAP7_75t_SL,44.28,100.386
FE_DBTC2140_net_67585,inst,INVxp33_ASAP7_75t_R,81.81,64.746
FE_DBTC2139_net_225,inst,INVxp67_ASAP7_75t_SL,183.924,115.506
FE_DBTC2138_net_64920,inst,INVxp67_ASAP7_75t_SL,50.598,74.466
FE_DBTC2137_net_89514,inst,INVx1_ASAP7_75t_SL,36.072,29.646
FE_DBTC2136_net_67823,inst,INVxp67_ASAP7_75t_SL,76.356,56.646
FE_DBTC2135_net_60670,inst,INVxp67_ASAP7_75t_SL,31.752,104.166
FE_DBTC2134_net_63805,inst,INVxp67_ASAP7_75t_SL,68.904,100.386
FE_DBTC2133_net_64909,inst,INVx4_ASAP7_75t_SL,37.53,90.666
FE_DBTC2132_net_78118,inst,INVxp67_ASAP7_75t_SL,24.57,49.086
FE_DBTC2131_FE_RN_11731_0,inst,INVxp33_ASAP7_75t_R,41.256,16.146
FE_DBTC2130_net_62479,inst,INVx2_ASAP7_75t_SL,34.722,79.326
FE_DBTC2129_net_66388,inst,INVx1_ASAP7_75t_SL,54.972,99.846
FE_DBTC2128_FE_RN_11361_0,inst,INVxp67_ASAP7_75t_R,60.804,115.506
FE_DBTC2127_FE_RN_9120_0,inst,INVxp33_ASAP7_75t_R,51.3,112.266
FE_DBTC2126_net_125942,inst,INVx3_ASAP7_75t_SL,31.914,81.486
